Delta	N_peaks_nomet	Greedy_nomet	Random_nomet	N_peaks_ext	Greedy_ext	Random_ext
0.0	3	0.2641037958437483	0.2620266320349998	3	0.32767291512499386	0.278420576879688
0.05	3	0.2641037958437483	0.2666548897056249	3	0.3210918700987096	0.2774077599487505
0.1	3	0.28395939395633996	0.2714786914993749	3	0.34215692227306926	0.287682414557813
0.15	3	0.28615219209998755	0.2657991249779686	3	0.32246172395991834	0.283315383510313
0.2	3	0.2794435605825088	0.2646046486618748	3	0.31128080045831014	0.28768349457921927
0.25	2	0.08758306976260359	0.0735028847375	2	0.09045311107883616	0.0736310874434374
0.3	2	0.09286861240632235	0.07296870679609375	2	0.09524947700394701	0.07342809982570302
0.35	2	0.081074654303619	0.07491311450281248	2	0.08159582949807888	0.07296870679609362
0.4	2	0.06961571908636914	0.07497721585578124	2	0.06762700358049327	0.07308622594320298
0.45	2	0.06225519469228162	0.07519088703234375	2	0.0596886523209815	0.07351356829632799
0.5	2	0.06759937436768829	0.07446440503203125	2	0.062476377494354446	0.07294733967843738
